seq,timestamp,rtt_ms,jitter_ms,status
1,2026-08-07T22:50:13.311,3.5719,,OK
2,2026-08-07T22:50:13.565,3.5515,0.0204,OK
3,2026-08-07T22:50:13.820,8.0982,4.5467,OK
4,2026-08-07T22:50:14.068,3.405,4.6932,OK
5,2026-08-07T22:50:14.321,3.3452,0.0598,OK
6,2026-08-07T22:50:14.572,3.2586,0.0866,OK
7,2026-08-07T22:50:14.823,3.5325,0.2739,OK
8,2026-08-07T22:50:15.073,3.3511,0.1814,OK
9,2026-08-07T22:50:15.324,3.4744,0.1233,OK
10,2026-08-07T22:50:15.576,3.149,0.3254,OK
11,2026-08-07T22:50:15.812,3.448,0.299,OK
12,2026-08-07T22:50:16.062,3.3448,0.1032,OK
13,2026-08-07T22:50:16.327,3.5162,0.1714,OK
14,2026-08-07T22:50:16.575,3.6923,0.1761,OK
15,2026-08-07T22:50:16.825,3.506,0.1863,OK
16,2026-08-07T22:50:17.074,3.4171,0.0889,OK
17,2026-08-07T22:50:17.313,3.2936,0.1235,OK
18,2026-08-07T22:50:17.562,3.4678,0.1742,OK
19,2026-08-07T22:50:17.814,3.2723,0.1955,OK
20,2026-08-07T22:50:18.065,3.4186,0.1463,OK
21,2026-08-07T22:50:18.314,3.4554,0.0368,OK
22,2026-08-07T22:50:18.568,3.4713,0.0159,OK
23,2026-08-07T22:50:18.818,3.3376,0.1337,OK
24,2026-08-07T22:50:19.072,3.3389,0.0013,OK
25,2026-08-07T22:50:19.323,3.435,0.0961,OK
26,2026-08-07T22:50:19.573,3.3553,0.0797,OK
27,2026-08-07T22:50:19.812,3.7116,0.3563,OK
28,2026-08-07T22:50:20.064,3.391,0.3206,OK
29,2026-08-07T22:50:20.316,3.3029,0.0881,OK
30,2026-08-07T22:50:20.568,3.2001,0.1028,OK
31,2026-08-07T22:50:20.819,3.3475,0.1474,OK
32,2026-08-07T22:50:21.071,3.4087,0.0612,OK
33,2026-08-07T22:50:21.321,3.2278,0.1809,OK
34,2026-08-07T22:50:21.570,3.2083,0.0195,OK
35,2026-08-07T22:50:21.823,3.3642,0.1559,OK
36,2026-08-07T22:50:22.074,4.274,0.9098,OK
37,2026-08-07T22:50:22.324,3.3848,0.8892,OK
38,2026-08-07T22:50:22.561,3.1831,0.2017,OK
39,2026-08-07T22:50:22.825,3.3003,0.1172,OK
40,2026-08-07T22:50:23.076,3.4978,0.1975,OK
41,2026-08-07T22:50:23.314,3.7821,0.2843,OK
42,2026-08-07T22:50:23.564,3.4266,0.3555,OK
